"number","period","type_of_activity","deductions_of_subsoil_users_for_the_socio-economic_development","name_of_the_city_district","id","the_name_of_the_subsoil_user","deductions_of_subsoil_users_for_training"
"100","07.02.1997","Доломиты","1300","Зерендинский","1","АО ССГПО","908"
"1","17.09.1999","Огнеупорные глины","927,9","Зерендинский","2","ТОО Дон","123"
"12","05.08.2000","Стройкамень","60","Зерендинский","3","ТОО НААҚ Құрылыс","330"
"69","07.12.2001","Стройкамень","70","Биржан Сал","4","ТОО Буландынский  каменный карьер","49,9"
"70","14.12.2001","Строительный песок","250","Зерендинский","5","ТОО Строймех","111"
"10","27.12.2004","Стройкамень","300","Бурабайский","6","ТОО BIKA","328,1"
"36","10.06.2005","Стройкамень","100","Зерендинский","7","ТОО Аңсар-2006","22,32"
"33","09.06.2005","кирпичные глины","277,8","Зерендинский","8","ТОО Ашина-Тас","27"
"171","25.07.2006","Кирпичные суглинки","нет данных","Бурабайский","9","ТОО ПКФ УКЗ Каспий (консервация)","0"
"199","25.09.2006","Естественный щебень","80","Зерендинский","10","ТОО КемИД","50"
"177","02.08.2006","Стройкамень","500","Зерендинский","11","ТОО РемАлСтрой","210"
"219","10.11.2006","Глинистые грунты","1000","Бурабайский","12","ТОО ЖолКурылысНК","36,38"
"239","10.01.2007","Стройкамень","1389","Зерендинский","13","ТОО Неруд-Кокшетау","1129,68"
"217","08.11.2006","Кирпичные суглинки","400","Зерендинский","14","ТОО ENKI","177,366"
"288","29.05.2007","Стройкамень","1000","Зерендинский","15","ТОО Кокшетау жолдары","1306,94"
"321","14.09.2007","Стройкамень","500","Зерендинский","16","ТОО СС-Кокше-Строй","174"
"398","03.03.2008","Кирпичные суглинки","400","Зерендинский","17","ТОО ENKI","145,36"
"467","23.06.2008","Песчано-гравийные смеси","850","г.Кокшетау","18","ТОО Дорстрой инжиниринг","188,18"
"872","20.04.2012","Осадочные породы","500","Зерендинский","19","ТОО Кокшетау жолдары","50"
